source,target,length_km,speed_kph,name
n1014,n1013,0.6638,60,11th Avenue
n1014,n1015,0.6638,60,11th Avenue
n1014,n1114,0.6672,35,O Lane
n1015,n0915,0.6672,60,P Boulevard
n1015,n1014,0.6638,60,11th Avenue
n1015,n1016,0.6638,60,11th Avenue
n1015,n1115,0.6672,60,P Boulevard
n1016,n0916,0.6672,35,Q Lane
n1016,n1015,0.6638,60,11th Avenue
n1016,n1017,0.6638,60,11th Avenue
n1016,n1116,0.6672,35,Q Lane
n1017,n0917,0.6672,35,R Lane
n1017,n1016,0.6638,60,11th Avenue
n1017,n1018,0.6638,60,11th Avenue
n1017,n1117,0.6672,35,R Lane
n1018,n0918,0.6672,35,S Lane
n1018,n1017,0.6638,60,11th Avenue
n1018,n1019,0.6638,60,11th Avenue
n1018,n1118,0.6672,35,S Lane
n1019,n0919,0.6672,35,T Lane
n1019,n1018,0.6638,60,11th Avenue
n1019,n1020,0.6638,60,11th Avenue
n1019,n1119,0.6672,35,T Lane
n1020,n0920,0.6672,60,U Boulevard
n1020,n1019,0.6638,60,11th Avenue
n1020,n1021,0.6638,60,11th Avenue
n1020,n1120,0.6672,60,U Boulevard
n1021,n0921,0.6672,35,V Lane
n1021,n1020,0.6638,60,11th Avenue
n1021,n1022,0.6638,60,11th Avenue
n1021,n1121,0.6672,35,V Lane
n1022,n0922,0.6672,35,W Lane
n1022,n1021,0.6638,60,11th Avenue
n1022,n1023,0.6638,60,11th Avenue
n1022,n1122,0.6672,35,W Lane
n1023,n0923,0.6672,35,X Lane
n1023,n1022,0.6638,60,11th Avenue
n1023,n1024,0.6638,60,11th Avenue
n1023,n1123,0.6672,35,X Lane
n1024,n0924,0.6672,35,Y Lane
n1024,n1023,0.6638,60,11th Avenue
n1024,n1025,0.6638,60,11th Avenue
n1024,n1124,0.6672,35,Y Lane
n1025,n0925,0.6672,60,Z Boulevard
n1025,n1024,0.6638,60,11th Avenue
n1025,n1026,0.6638,60,11th Avenue
n1025,n1125,0.6672,60,Z Boulevard
n1026,n0926,0.6672,35,AA Lane
n1026,n1025,0.6638,60,11th Avenue
n1026,n1027,0.6638,60,11th Avenue
n1027,n0927,0.6672,35,AB Lane
n1027,n1026,0.6638,60,11th Avenue
n1027,n1028,0.6638,60,11th Avenue
n1027,n1127,0.6672,35,AB Lane
n1028,n0928,0.6672,35,AC Lane
n1028,n1027,0.6638,60,11th Avenue
n1028,n1029,0.6638,60,11th Avenue
n1028,n1128,0.6672,35,AC Lane
n1029,n0929,0.6672,35,AD Lane
n1029,n1028,0.6638,60,11th Avenue
n1029,n1030,0.6638,60,11th Avenue
n1029,n1129,0.6672,35,AD Lane
n1030,n0930,0.6672,60,AE Boulevard
n1030,n1029,0.6638,60,11th Avenue
n1030,n1031,0.6638,60,11th Avenue
n1030,n1130,0.6672,60,AE Boulevard
n1031,n1030,0.6638,60,11th Avenue
n1031,n1032,0.6638,60,11th Avenue
n1031,n1131,0.6672,35,AF Lane
n1032,n0932,0.6672,35,AG Lane
n1032,n1031,0.6638,60,11th Avenue
n1032,n1033,0.6638,60,11th Avenue
n1032,n1132,0.6672,35,AG Lane
n1033,n0933,0.6672,35,AH Lane
n1033,n1032,0.6638,60,11th Avenue
n1033,n1034,0.6638,60,11th Avenue
n1033,n1133,0.6672,35,AH Lane
n1034,n0934,0.6672,35,AI Lane
n1034,n1033,0.6638,60,11th Avenue
n1034,n1035,0.6638,60,11th Avenue
n1034,n1134,0.6672,35,AI Lane
n1035,n0935,0.6672,60,AJ Boulevard
n1035,n1034,0.6638,60,11th Avenue
n1035,n1036,0.6638,60,11th Avenue
n1035,n1135,0.6672,60,AJ Boulevard
n1036,n0936,0.6672,35,AK Lane
n1036,n1035,0.6638,60,11th Avenue
n1036,n1037,0.6638,60,11th Avenue
n1036,n1136,0.6672,35,AK Lane
n1037,n0937,0.6672,35,AL Lane
n1037,n1036,0.6638,60,11th Avenue
n1037,n1038,0.6638,60,11th Avenue
n1037,n1137,0.6672,35,AL Lane
n1038,n0938,0.6672,35,AM Lane
n1038,n1037,0.6638,60,11th Avenue
n1038,n1039,0.6638,60,11th Avenue
n1038,n1138,0.6672,35,AM Lane
n1039,n0939,0.6672,35,AN Lane
n1039,n1038,0.6638,60,11th Avenue
n1039,n1139,0.6672,35,AN Lane
n1039,n0539,3.3359,100,Ring Motorway
n1039,n1539,3.3359,100,Ring Motorway
n1100,n1000,0.6672,60,A Boulevard
n1100,n1200,0.6672,60,A Boulevard
n1101,n1001,0.6672,35,B Lane
n1101,n1102,0.6638,35,12th Street
n1101,n1201,0.6672,35,B Lane
n1102,n1002,0.6672,35,C Lane
n1102,n1101,0.6638,35,12th Street
n1102,n1202,0.6672,35,C Lane
n1103,n1003,0.6672,35,D Lane
n1103,n1104,0.6638,35,12th Street
n1103,n1203,0.6672,35,D Lane
n1104,n1004,0.6672,35,E Lane
n1104,n1103,0.6638,35,12th Street
n1104,n1105,0.6638,35,12th Street
n1104,n1204,0.6672,35,E Lane
n1105,n1005,0.6672,60,F Boulevard
n1105,n1104,0.6638,35,12th Street
n1105,n1106,0.6638,35,12th Street
n1105,n1205,0.6672,60,F Boulevard
n1106,n1006,0.6672,35,G Lane
n1106,n1105,0.6638,35,12th Street
n1106,n1107,0.6638,35,12th Street
n1106,n1206,0.6672,35,G Lane
n1107,n1007,0.6672,35,H Lane
n1107,n1106,0.6638,35,12th Street
n1107,n1108,0.6638,35,12th Street
n1107,n1207,0.6672,35,H Lane
n1108,n1008,0.6672,35,I Lane
n1108,n1107,0.6638,35,12th Street
n1108,n1109,0.6638,35,12th Street
n1108,n1208,0.6672,35,I Lane
n1109,n1009,0.6672,35,J Lane
n1109,n1108,0.6638,35,12th Street
n1109,n1209,0.6672,35,J Lane
n1110,n1010,0.6672,60,K Boulevard
n1110,n1111,0.6638,35,12th Street
n1110,n1210,0.6672,60,K Boulevard
n1111,n1011,0.6672,35,L Lane
n1111,n1110,0.6638,35,12th Street
n1111,n1211,0.6672,35,L Lane
n1112,n1012,0.6672,35,M Lane
n1112,n1113,0.6638,35,12th Street
n1112,n1212,0.6672,35,M Lane
n1113,n1013,0.6672,35,N Lane
n1113,n1112,0.6638,35,12th Street
n1113,n1114,0.6638,35,12th Street
n1113,n1213,0.6672,35,N Lane
n1114,n1014,0.6672,35,O Lane
n1114,n1113,0.6638,35,12th Street
n1114,n1115,0.6638,35,12th Street
n1114,n1214,0.6672,35,O Lane
n1115,n1015,0.6672,60,P Boulevard
n1115,n1114,0.6638,35,12th Street
n1115,n1116,0.6638,35,12th Street
n1115,n1215,0.6672,60,P Boulevard
n1116,n1016,0.6672,35,Q Lane
n1116,n1115,0.6638,35,12th Street
n1116,n1117,0.6638,35,12th Street
n1116,n1216,0.6672,35,Q Lane
n1117,n1017,0.6672,35,R Lane
n1117,n1116,0.6638,35,12th Street
n1117,n1118,0.6638,35,12th Street
n1117,n1217,0.6672,35,R Lane
n1118,n1018,0.6672,35,S Lane
n1118,n1117,0.6638,35,12th Street
n1118,n1218,0.6672,35,S Lane
n1119,n1019,0.6672,35,T Lane
n1119,n1120,0.6638,35,12th Street
n1119,n1219,0.6672,35,T Lane
n1120,n1020,0.6672,60,U Boulevard
n1120,n1119,0.6638,35,12th Street
n1120,n1121,0.6638,35,12th Street
n1120,n1220,0.6672,60,U Boulevard
n1121,n1021,0.6672,35,V Lane
n1121,n1120,0.6638,35,12th Street
n1121,n1122,0.6638,35,12th Street
n1121,n1221,0.6672,35,V Lane
n1122,n1022,0.6672,35,W Lane
n1122,n1121,0.6638,35,12th Street
n1122,n1123,0.6638,35,12th Street
n1122,n1222,0.6672,35,W Lane
n1123,n1023,0.6672,35,X Lane
n1123,n1122,0.6638,35,12th Street
n1123,n1124,0.6638,35,12th Street
n1123,n1223,0.6672,35,X Lane
n1124,n1024,0.6672,35,Y Lane
n1124,n1123,0.6638,35,12th Street
n1124,n1125,0.6638,35,12th Street
n1124,n1224,0.6672,35,Y Lane
n1125,n1025,0.6672,60,Z Boulevard
n1125,n1124,0.6638,35,12th Street
n1125,n1126,0.6638,35,12th Street
n1125,n1225,0.6672,60,Z Boulevard
n1126,n1125,0.6638,35,12th Street
n1126,n1127,0.6638,35,12th Street
n1126,n1226,0.6672,35,AA Lane
n1127,n1027,0.6672,35,AB Lane
n1127,n1126,0.6638,35,12th Street
n1127,n1128,0.6638,35,12th Street
n1127,n1227,0.6672,35,AB Lane
n1128,n1028,0.6672,35,AC Lane
n1128,n1127,0.6638,35,12th Street
n1128,n1129,0.6638,35,12th Street
n1128,n1228,0.6672,35,AC Lane
n1129,n1029,0.6672,35,AD Lane
n1129,n1128,0.6638,35,12th Street
n1129,n1130,0.6638,35,12th Street
n1130,n1030,0.6672,60,AE Boulevard
n1130,n1129,0.6638,35,12th Street
n1130,n1131,0.6638,35,12th Street
n1130,n1230,0.6672,60,AE Boulevard
n1131,n1031,0.6672,35,AF Lane
n1131,n1130,0.6638,35,12th Street
n1131,n1132,0.6638,35,12th Street
n1131,n1231,0.6672,35,AF Lane
n1132,n1032,0.6672,35,AG Lane
n1132,n1131,0.6638,35,12th Street
n1132,n1133,0.6638,35,12th Street
n1132,n1232,0.6672,35,AG Lane
n1133,n1033,0.6672,35,AH Lane
n1133,n1132,0.6638,35,12th Street
n1133,n1233,0.6672,35,AH Lane
n1134,n1034,0.6672,35,AI Lane
n1134,n1135,0.6638,35,12th Street
n1135,n1035,0.6672,60,AJ Boulevard
n1135,n1134,0.6638,35,12th Street
n1135,n1136,0.6638,35,12th Street
n1135,n1235,0.6672,60,AJ Boulevard
n1136,n1036,0.6672,35,AK Lane
n1136,n1135,0.6638,35,12th Street
n1136,n1137,0.6638,35,12th Street
n1136,n1236,0.6672,35,AK Lane
n1137,n1037,0.6672,35,AL Lane
n1137,n1136,0.6638,35,12th Street
n1137,n1138,0.6638,35,12th Street
n1137,n1237,0.6672,35,AL Lane
n1138,n1038,0.6672,35,AM Lane
n1138,n1137,0.6638,35,12th Street
n1138,n1139,0.6638,35,12th Street
n1138,n1238,0.6672,35,AM Lane
n1139,n1039,0.6672,35,AN Lane
n1139,n1138,0.6638,35,12th Street
n1139,n1239,0.6672,35,AN Lane
n1200,n1100,0.6672,60,A Boulevard
n1200,n1201,0.6637,35,13th Street
n1200,n1300,0.6672,60,A Boulevard
n1201,n1101,0.6672,35,B Lane
n1201,n1200,0.6637,35,13th Street
n1201,n1202,0.6637,35,13th Street
n1201,n1301,0.6672,35,B Lane
n1202,n1102,0.6672,35,C Lane
n1202,n1201,0.6637,35,13th Street
n1202,n1203,0.6637,35,13th Street
n1203,n1103,0.6672,35,D Lane
n1203,n1202,0.6637,35,13th Street
n1203,n1204,0.6637,35,13th Street
n1203,n1303,0.6672,35,D Lane
n1204,n1104,0.6672,35,E Lane
n1204,n1203,0.6637,35,13th Street
n1204,n1205,0.6637,35,13th Street
n1204,n1304,0.6672,35,E Lane
n1205,n1105,0.6672,60,F Boulevard
n1205,n1204,0.6637,35,13th Street
n1205,n1206,0.6637,35,13th Street
n1205,n1305,0.6672,60,F Boulevard
n1206,n1106,0.6672,35,G Lane
n1206,n1205,0.6637,35,13th Street
n1206,n1207,0.6637,35,13th Street
n1206,n1306,0.6672,35,G Lane
n1207,n1107,0.6672,35,H Lane
n1207,n1206,0.6637,35,13th Street
n1207,n1208,0.6637,35,13th Street
n1207,n1307,0.6672,35,H Lane
n1208,n1108,0.6672,35,I Lane
n1208,n1207,0.6637,35,13th Street
n1208,n1209,0.6637,35,13th Street
n1208,n1308,0.6672,35,I Lane
n1209,n1109,0.6672,35,J Lane
n1209,n1208,0.6637,35,13th Street
n1209,n1210,0.6637,35,13th Street
n1209,n1309,0.6672,35,J Lane
n1210,n1110,0.6672,60,K Boulevard
n1210,n1209,0.6637,35,13th Street
n1210,n1211,0.6637,35,13th Street
n1210,n1310,0.6672,60,K Boulevard
n1211,n1111,0.6672,35,L Lane
n1211,n1210,0.6637,35,13th Street
n1211,n1212,0.6637,35,13th Street
n1211,n1311,0.6672,35,L Lane
n1212,n1112,0.6672,35,M Lane
n1212,n1211,0.6637,35,13th Street
n1212,n1213,0.6637,35,13th Street
n1212,n1312,0.6672,35,M Lane
n1213,n1113,0.6672,35,N Lane
n1213,n1212,0.6637,35,13th Street
n1213,n1214,0.6637,35,13th Street
n1213,n1313,0.6672,35,N Lane
n1214,n1114,0.6672,35,O Lane
n1214,n1213,0.6637,35,13th Street
n1214,n1215,0.6637,35,13th Street
n1214,n1314,0.6672,35,O Lane
n1215,n1115,0.6672,60,P Boulevard
n1215,n1214,0.6637,35,13th Street
n1215,n1216,0.6637,35,13th Street
n1215,n1315,0.6672,60,P Boulevard
n1216,n1116,0.6672,35,Q Lane
n1216,n1215,0.6637,35,13th Street
n1216,n1217,0.6637,35,13th Street
n1216,n1316,0.6672,35,Q Lane
n1217,n1117,0.6672,35,R Lane
n1217,n1216,0.6637,35,13th Street
n1217,n1218,0.6637,35,13th Street
n1218,n1118,0.6672,35,S Lane
n1218,n1217,0.6637,35,13th Street
n1218,n1219,0.6637,35,13th Street
n1218,n1318,0.6672,35,S Lane
n1219,n1119,0.6672,35,T Lane
n1219,n1218,0.6637,35,13th Street
n1219,n1220,0.6637,35,13th Street
n1219,n1319,0.6672,35,T Lane
n1220,n1120,0.6672,60,U Boulevard
n1220,n1219,0.6637,35,13th Street
n1220,n1221,0.6637,35,13th Street
n1220,n1320,0.6672,60,U Boulevard
n1221,n1121,0.6672,35,V Lane
n1221,n1220,0.6637,35,13th Street
n1221,n1222,0.6637,35,13th Street
n1221,n1321,0.6672,35,V Lane
n1222,n1122,0.6672,35,W Lane
n1222,n1221,0.6637,35,13th Street
n1222,n1223,0.6637,35,13th Street
n1222,n1322,0.6672,35,W Lane
n1223,n1123,0.6672,35,X Lane
n1223,n1222,0.6637,35,13th Street
n1223,n1323,0.6672,35,X Lane
n1224,n1124,0.6672,35,Y Lane
n1224,n1225,0.6637,35,13th Street
n1224,n1324,0.6672,35,Y Lane
n1225,n1125,0.6672,60,Z Boulevard
n1225,n1224,0.6637,35,13th Street
n1225,n1226,0.6637,35,13th Street
n1225,n1325,0.6672,60,Z Boulevard
n1226,n1126,0.6672,35,AA Lane
n1226,n1225,0.6637,35,13th Street
n1226,n1227,0.6637,35,13th Street
n1226,n1326,0.6672,35,AA Lane
n1227,n1127,0.6672,35,AB Lane
n1227,n1226,0.6637,35,13th Street
n1227,n1228,0.6637,35,13th Street
n1227,n1327,0.6672,35,AB Lane
n1228,n1128,0.6672,35,AC Lane
n1228,n1227,0.6637,35,13th Street
n1228,n1229,0.6637,35,13th Street
n1228,n1328,0.6672,35,AC Lane
n1229,n1228,0.6637,35,13th Street
n1229,n1230,0.6637,35,13th Street
n1229,n1329,0.6672,35,AD Lane
n1230,n1130,0.6672,60,AE Boulevard
n1230,n1229,0.6637,35,13th Street
n1230,n1231,0.6637,35,13th Street
n1230,n1330,0.6672,60,AE Boulevard
n1231,n1131,0.6672,35,AF Lane
n1231,n1230,0.6637,35,13th Street
n1231,n1232,0.6637,35,13th Street
n1231,n1331,0.6672,35,AF Lane
n1232,n1132,0.6672,35,AG Lane
n1232,n1231,0.6637,35,13th Street
n1232,n1233,0.6637,35,13th Street
n1232,n1332,0.6672,35,AG Lane
n1233,n1133,0.6672,35,AH Lane
n1233,n1232,0.6637,35,13th Street
n1233,n1234,0.6637,35,13th Street
n1233,n1333,0.6672,35,AH Lane
n1234,n1233,0.6637,35,13th Street
n1234,n1235,0.6637,35,13th Street
n1234,n1334,0.6672,35,AI Lane
n1235,n1135,0.6672,60,AJ Boulevard
n1235,n1234,0.6637,35,13th Street
n1235,n1236,0.6637,35,13th Street
n1235,n1335,0.6672,60,AJ Boulevard
n1236,n1136,0.6672,35,AK Lane
n1236,n1235,0.6637,35,13th Street
n1236,n1237,0.6637,35,13th Street
n1236,n1336,0.6672,35,AK Lane
n1237,n1137,0.6672,35,AL Lane
n1237,n1236,0.6637,35,13th Street
n1237,n1238,0.6637,35,13th Street
n1237,n1337,0.6672,35,AL Lane
n1238,n1138,0.6672,35,AM Lane
n1238,n1237,0.6637,35,13th Street
n1238,n1338,0.6672,35,AM Lane
n1239,n1139,0.6672,35,AN Lane
n1239,n1339,0.6672,35,AN Lane
n1300,n1200,0.6672,60,A Boulevard
n1300,n1301,0.6637,35,14th Street
n1300,n1400,0.6672,60,A Boulevard
n1301,n1201,0.6672,35,B Lane
n1301,n1300,0.6637,35,14th Street
n1301,n1302,0.6637,35,14th Street
n1302,n1301,0.6637,35,14th Street
n1302,n1303,0.6637,35,14th Street
n1302,n1402,0.6672,35,C Lane
n1303,n1203,0.6672,35,D Lane
n1303,n1302,0.6637,35,14th Street
n1303,n1304,0.6637,35,14th Street
n1304,n1204,0.6672,35,E Lane
n1304,n1303,0.6637,35,14th Street
n1304,n1305,0.6637,35,14th Street
n1304,n1404,0.6672,35,E Lane
n1305,n1205,0.6672,60,F Boulevard
n1305,n1304,0.6637,35,14th Street
n1305,n1306,0.6637,35,14th Street
n1305,n1405,0.6672,60,F Boulevard
n1306,n1206,0.6672,35,G Lane
n1306,n1305,0.6637,35,14th Street
n1306,n1307,0.6637,35,14th Street
n1306,n1406,0.6672,35,G Lane
n1307,n1207,0.6672,35,H Lane
n1307,n1306,0.6637,35,14th Street
n1307,n1308,0.6637,35,14th Street
n1307,n1407,0.6672,35,H Lane
n1308,n1208,0.6672,35,I Lane
n1308,n1307,0.6637,35,14th Street
n1308,n1309,0.6637,35,14th Street
n1308,n1408,0.6672,35,I Lane
n1309,n1209,0.6672,35,J Lane
n1309,n1308,0.6637,35,14th Street
n1309,n1310,0.6637,35,14th Street
n1309,n1409,0.6672,35,J Lane
n1310,n1210,0.6672,60,K Boulevard
n1310,n1309,0.6637,35,14th Street
n1310,n1311,0.6637,35,14th Street
n1310,n1410,0.6672,60,K Boulevard
n1311,n1211,0.6672,35,L Lane
n1311,n1310,0.6637,35,14th Street
n1311,n1312,0.6637,35,14th Street
n1311,n1411,0.6672,35,L Lane
n1312,n1212,0.6672,35,M Lane
n1312,n1311,0.6637,35,14th Street
n1312,n1313,0.6637,35,14th Street
n1312,n1412,0.6672,35,M Lane
n1313,n1213,0.6672,35,N Lane
n1313,n1312,0.6637,35,14th Street
n1313,n1314,0.6637,35,14th Street
n1313,n1413,0.6672,35,N Lane
n1314,n1214,0.6672,35,O Lane
n1314,n1313,0.6637,35,14th Street
n1314,n1315,0.6637,35,14th Street
n1314,n1414,0.6672,35,O Lane
n1315,n1215,0.6672,60,P Boulevard
n1315,n1314,0.6637,35,14th Street
n1315,n1316,0.6637,35,14th Street
n1315,n1415,0.6672,60,P Boulevard
n1316,n1216,0.6672,35,Q Lane
n1316,n1315,0.6637,35,14th Street
n1316,n1317,0.6637,35,14th Street
n1316,n1416,0.6672,35,Q Lane
n1317,n1316,0.6637,35,14th Street
n1317,n1417,0.6672,35,R Lane
n1318,n1218,0.6672,35,S Lane
n1318,n1319,0.6637,35,14th Street
n1318,n1418,0.6672,35,S Lane
n1319,n1219,0.6672,35,T Lane
n1319,n1318,0.6637,35,14th Street
n1320,n1220,0.6672,60,U Boulevard
n1320,n1321,0.6637,35,14th Street
n1320,n1420,0.6672,60,U Boulevard
n1321,n1221,0.6672,35,V Lane
n1321,n1320,0.6637,35,14th Street
n1321,n1322,0.6637,35,14th Street
n1321,n1421,0.6672,35,V Lane
n1322,n1222,0.6672,35,W Lane
n1322,n1321,0.6637,35,14th Street
n1322,n1323,0.6637,35,14th Street
n1323,n1223,0.6672,35,X Lane
n1323,n1322,0.6637,35,14th Street
n1323,n1324,0.6637,35,14th Street
n1323,n1423,0.6672,35,X Lane
n1324,n1224,0.6672,35,Y Lane
n1324,n1323,0.6637,35,14th Street
n1324,n1325,0.6637,35,14th Street
n1325,n1225,0.6672,60,Z Boulevard
n1325,n1324,0.6637,35,14th Street
n1325,n1326,0.6637,35,14th Street
n1325,n1425,0.6672,60,Z Boulevard
n1326,n1226,0.6672,35,AA Lane
n1326,n1325,0.6637,35,14th Street
n1326,n1426,0.6672,35,AA Lane
n1327,n1227,0.6672,35,AB Lane
n1327,n1328,0.6637,35,14th Street
n1328,n1228,0.6672,35,AC Lane
n1328,n1327,0.6637,35,14th Street
n1328,n1329,0.6637,35,14th Street
n1328,n1428,0.6672,35,AC Lane
n1329,n1229,0.6672,35,AD Lane
n1329,n1328,0.6637,35,14th Street
n1329,n1330,0.6637,35,14th Street
n1329,n1429,0.6672,35,AD Lane
n1330,n1230,0.6672,60,AE Boulevard
n1330,n1329,0.6637,35,14th Street
n1330,n1331,0.6637,35,14th Street
n1330,n1430,0.6672,60,AE Boulevard
n1331,n1231,0.6672,35,AF Lane
n1331,n1330,0.6637,35,14th Street
n1331,n1332,0.6637,35,14th Street
n1331,n1431,0.6672,35,AF Lane
n1332,n1232,0.6672,35,AG Lane
n1332,n1331,0.6637,35,14th Street
n1332,n1432,0.6672,35,AG Lane
n1333,n1233,0.6672,35,AH Lane
n1333,n1334,0.6637,35,14th Street
n1333,n1433,0.6672,35,AH Lane
n1334,n1234,0.6672,35,AI Lane
n1334,n1333,0.6637,35,14th Street
n1335,n1235,0.6672,60,AJ Boulevard
n1335,n1336,0.6637,35,14th Street
n1335,n1435,0.6672,60,AJ Boulevard
n1336,n1236,0.6672,35,AK Lane
n1336,n1335,0.6637,35,14th Street
n1336,n1337,0.6637,35,14th Street
n1336,n1436,0.6672,35,AK Lane
n1337,n1237,0.6672,35,AL Lane
n1337,n1336,0.6637,35,14th Street
n1337,n1338,0.6637,35,14th Street
n1337,n1437,0.6672,35,AL Lane
n1338,n1238,0.6672,35,AM Lane
n1338,n1337,0.6637,35,14th Street
n1338,n1339,0.6637,35,14th Street
n1338,n1438,0.6672,35,AM Lane
n1339,n1239,0.6672,35,AN Lane
n1339,n1338,0.6637,35,14th Street
n1339,n1439,0.6672,35,AN Lane
n1400,n1300,0.6672,60,A Boulevard
n1400,n1401,0.6636,35,15th Street
n1400,n1500,0.6672,60,A Boulevard
n1400,n1900,3.3359,100,Ring Motorway
n1400,n0900,3.3359,100,Ring Motorway
n1401,n1400,0.6636,35,15th Street
n1401,n1402,0.6636,35,15th Street
n1401,n1501,0.6672,35,B Lane
n1402,n1302,0.6672,35,C Lane
n1402,n1401,0.6636,35,15th Street
n1402,n1403,0.6636,35,15th Street
n1402,n1502,0.6672,35,C Lane
n1403,n1402,0.6636,35,15th Street
n1403,n1503,0.6672,35,D Lane
n1404,n1304,0.6672,35,E Lane
n1404,n1405,0.6636,35,15th Street
n1404,n1504,0.6672,35,E Lane
n1405,n1305,0.6672,60,F Boulevard
n1405,n1404,0.6636,35,15th Street
n1405,n1406,0.6636,35,15th Street
n1405,n1505,0.6672,60,F Boulevard
n1406,n1306,0.6672,35,G Lane
n1406,n1405,0.6636,35,15th Street
n1406,n1407,0.6636,35,15th Street
n1406,n1506,0.6672,35,G Lane
n1407,n1307,0.6672,35,H Lane
n1407,n1406,0.6636,35,15th Street
n1407,n1408,0.6636,35,15th Street
n1407,n1507,0.6672,35,H Lane
n1408,n1308,0.6672,35,I Lane
n1408,n1407,0.6636,35,15th Street
n1408,n1508,0.6672,35,I Lane
n1409,n1309,0.6672,35,J Lane
n1409,n1410,0.6636,35,15th Street
n1409,n1509,0.6672,35,J Lane
n1410,n1310,0.6672,60,K Boulevard
n1410,n1409,0.6636,35,15th Street
n1410,n1411,0.6636,35,15th Street
n1410,n1510,0.6672,60,K Boulevard
n1411,n1311,0.6672,35,L Lane
n1411,n1410,0.6636,35,15th Street
n1411,n1412,0.6636,35,15th Street
n1411,n1511,0.6672,35,L Lane
n1412,n1312,0.6672,35,M Lane
n1412,n1411,0.6636,35,15th Street
n1412,n1413,0.6636,35,15th Street
n1412,n1512,0.6672,35,M Lane
n1413,n1313,0.6672,35,N Lane
n1413,n1412,0.6636,35,15th Street
n1413,n1414,0.6636,35,15th Street
n1413,n1513,0.6672,35,N Lane
n1414,n1314,0.6672,35,O Lane
n1414,n1413,0.6636,35,15th Street
n1414,n1415,0.6636,35,15th Street
n1414,n1514,0.6672,35,O Lane
n1415,n1315,0.6672,60,P Boulevard
n1415,n1414,0.6636,35,15th Street
n1415,n1416,0.6636,35,15th Street
n1415,n1515,0.6672,60,P Boulevard
n1416,n1316,0.6672,35,Q Lane
n1416,n1415,0.6636,35,15th Street
n1416,n1516,0.6672,35,Q Lane
n1417,n1317,0.6672,35,R Lane
n1417,n1418,0.6636,35,15th Street
n1417,n1517,0.6672,35,R Lane
n1418,n1318,0.6672,35,S Lane
n1418,n1417,0.6636,35,15th Street
n1418,n1419,0.6636,35,15th Street
n1418,n1518,0.6672,35,S Lane
n1419,n1418,0.6636,35,15th Street
n1419,n1420,0.6636,35,15th Street
n1419,n1519,0.6672,35,T Lane
n1420,n1320,0.6672,60,U Boulevard
n1420,n1419,0.6636,35,15th Street
n1420,n1421,0.6636,35,15th Street
n1420,n1520,0.6672,60,U Boulevard
n1421,n1321,0.6672,35,V Lane
n1421,n1420,0.6636,35,15th Street
n1421,n1422,0.6636,35,15th Street
n1421,n1521,0.6672,35,V Lane
n1422,n1421,0.6636,35,15th Street
n1422,n1423,0.6636,35,15th Street
n1422,n1522,0.6672,35,W Lane
n1423,n1323,0.6672,35,X Lane
n1423,n1422,0.6636,35,15th Street
n1423,n1424,0.6636,35,15th Street
n1423,n1523,0.6672,35,X Lane
n1424,n1423,0.6636,35,15th Street
n1424,n1425,0.6636,35,15th Street
n1425,n1325,0.6672,60,Z Boulevard
n1425,n1424,0.6636,35,15th Street
n1425,n1426,0.6636,35,15th Street
n1425,n1525,0.6672,60,Z Boulevard
n1426,n1326,0.6672,35,AA Lane
n1426,n1425,0.6636,35,15th Street
n1426,n1526,0.6672,35,AA Lane
n1427,n1428,0.6636,35,15th Street
n1427,n1527,0.6672,35,AB Lane
n1428,n1328,0.6672,35,AC Lane
n1428,n1427,0.6636,35,15th Street
n1428,n1429,0.6636,35,15th Street
n1429,n1329,0.6672,35,AD Lane
n1429,n1428,0.6636,35,15th Street
n1429,n1430,0.6636,35,15th Street
n1429,n1529,0.6672,35,AD Lane
n1430,n1330,0.6672,60,AE Boulevard
n1430,n1429,0.6636,35,15th Street
n1430,n1431,0.6636,35,15th Street
n1430,n1530,0.6672,60,AE Boulevard
n1431,n1331,0.6672,35,AF Lane
n1431,n1430,0.6636,35,15th Street
n1431,n1432,0.6636,35,15th Street
n1431,n1531,0.6672,35,AF Lane
n1432,n1332,0.6672,35,AG Lane
n1432,n1431,0.6636,35,15th Street
n1432,n1433,0.6636,35,15th Street
n1432,n1532,0.6672,35,AG Lane
n1433,n1333,0.6672,35,AH Lane
n1433,n1432,0.6636,35,15th Street
n1433,n1434,0.6636,35,15th Street
n1433,n1533,0.6672,35,AH Lane
n1434,n1433,0.6636,35,15th Street
n1434,n1435,0.6636,35,15th Street
n1434,n1534,0.6672,35,AI Lane
n1435,n1335,0.6672,60,AJ Boulevard
n1435,n1434,0.6636,35,15th Street
n1435,n1436,0.6636,35,15th Street
n1435,n1535,0.6672,60,AJ Boulevard
n1436,n1336,0.6672,35,AK Lane
n1436,n1435,0.6636,35,15th Street
n1436,n1437,0.6636,35,15th Street
n1436,n1536,0.6672,35,AK Lane
n1437,n1337,0.6672,35,AL Lane
n1437,n1436,0.6636,35,15th Street
n1437,n1438,0.6636,35,15th Street
n1437,n1537,0.6672,35,AL Lane
n1438,n1338,0.6672,35,AM Lane
n1438,n1437,0.6636,35,15th Street
n1438,n1439,0.6636,35,15th Street
n1438,n1538,0.6672,35,AM Lane
n1439,n1339,0.6672,35,AN Lane
n1439,n1438,0.6636,35,15th Street
n1439,n1539,0.6672,35,AN Lane
